"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Titre scolaire";"Domaine d'études";"Genre";"Groupe d'âge";"Statut de l’étudiant au Canada";"Caractéristiques après l’obtention du titre scolaire";"Statistiques des diplômés";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012113";"1.3.1.2.1.1.4.1";"9970";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012113";"1.3.1.2.1.1.4.1";"13180";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012113";"1.3.1.2.1.1.4.1";"12630";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012113";"1.3.1.2.1.1.4.1";"12990";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012113";"1.3.1.2.1.1.4.1";"19900";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012113";"1.3.1.2.1.1.4.1";"19330";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012113";"1.3.1.2.1.1.4.1";"18860";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012113";"1.3.1.2.1.1.4.1";"18260";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012113";"1.3.1.2.1.1.4.1";"17130";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012114";"1.3.1.2.1.1.4.2";"66700";"";"";"";"0"
