"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Titre scolaire";"Domaine d'études";"Genre";"Groupe d'âge";"Statut de l’étudiant au Canada";"Caractéristiques après l’obtention du titre scolaire";"Statistiques des diplômés";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012176";"1.3.1.3.1.1.4.1";"12110";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012176";"1.3.1.3.1.1.4.1";"15070";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012176";"1.3.1.3.1.1.4.1";"14910";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012176";"1.3.1.3.1.1.4.1";"14220";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012176";"1.3.1.3.1.1.4.1";"24020";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012176";"1.3.1.3.1.1.4.1";"23340";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012176";"1.3.1.3.1.1.4.1";"22060";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012176";"1.3.1.3.1.1.4.1";"22420";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664012176";"1.3.1.3.1.1.4.1";"21810";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012177";"1.3.1.3.1.1.4.2";"45300";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012177";"1.3.1.3.1.1.4.2";"44100";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012177";"1.3.1.3.1.1.4.2";"43600";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012177";"1.3.1.3.1.1.4.2";"44500";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012177";"1.3.1.3.1.1.4.2";"43200";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012177";"1.3.1.3.1.1.4.2";"42600";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012177";"1.3.1.3.1.1.4.2";"44700";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012177";"1.3.1.3.1.1.4.2";"44800";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012177";"1.3.1.3.1.1.4.2";"45100";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019417";"1.3.2.3.1.1.4.1";"740";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019417";"1.3.2.3.1.1.4.1";"860";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019417";"1.3.2.3.1.1.4.1";"730";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019417";"1.3.2.3.1.1.4.1";"710";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019417";"1.3.2.3.1.1.4.1";"860";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019417";"1.3.2.3.1.1.4.1";"840";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019417";"1.3.2.3.1.1.4.1";"780";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019417";"1.3.2.3.1.1.4.1";"880";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019417";"1.3.2.3.1.1.4.1";"1010";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019418";"1.3.2.3.1.1.4.2";"37300";"";"";"";"0"
